title,authors,journal,year
A Theoretical Framework for a Secure Multicast in Cloud Scenario,JD Snehanshu Saha<comma> Animesh Giri,IOAJ. Internet Computing<comma> 2012,2012
A Fast Haar Classifier based Gesture Recognition using camShift algorithm and Curve Fitting Method,SS Bhavish Agarwal<comma> Jyothi Desai,International Journal of Computer Science and Informatics ISSN (PRINT): 2231�…<comma> 2012,2012
