title,authors,journal,year
Energy Efficient Multicast Algorithm for an Ad Hoc Network,DA Annapurna     N Tejas     KB Raja     KR Venugopal,American International Journal of Contemporary Scientific Research 1 (2)  05�…  2014,2014
Energy Efficient Multicast Algorithm for an Ad hoc Network,VKR D. Annapurna     Tejas N     K.B. Raja,American International Journal of Contemporary Scientific Research  2014,2014
A Dynamic Secure Routing Technique for Mobile  Adhoc Network,VKR 4. D Annapurna     Srikantha     K B Raja,International Journal of Computer Networks and Security 24 (1)  1216-1223  2014,2014
An energy efficient multicast algorithm for an Adhoc network using network coding and MAC scheduling,D Annapurna     N Tejas     KB Raja     KR Venugopal     LM Patnaik,Signal Processing and Communication (ICSC)  2013 International Conference on�…  2013,2013
TDMA Based Energy Efficient Quality of Service Routing Protocol,VKRLMP D Annapurna     Venkateshwar Rao     KB Raja,International Conference on Information Technology  Electronics and�…  2013,2013
Quality of Service Routing Protocol for Mobile Ad hoc Network,VKRLMP 3. D Annapurna     K B Raja,International Journal of Computer Science and Mobile Computing 2 (3)  4 – 13  2013,2013
Quality of Service Routing Protocol for Mobile Ad hoc Network,D Annapurna     KB Raja     KR Venugopal     LM Patnaik,,2013
