title,authors,journal,year
A Survey Paper Of Inspired Resource Management Algorithms In Cloud Environment,GSS Sudeepa Roy Dey     Bidisha Goswami     Sai Prasanna M S,International Journal of Applied Engineering Research 10 (24)  44509-44514  2015,2015
Dynamic Job Shop Scheduling with Sequence Dependent Routes,SS Sai Prasanna M S     Surbhi Agrawal,International Journal of Scientific & Engineering Research 5 (8)  505-513  2014,2014
